State_Name,District_Name,Year,Season,crop_year,Area,Production,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Rajasthan,AJMER,2004,Kharif     ,Arhar/Tur,3,,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Bajra,82174,41736,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Castor seed,18,7,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Cotton(lint),12327,24170,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Groundnut,2378,584,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Jowar,119921,30195,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Maize,37783,27330,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Moong(Green Gram),79619,32496,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Moth,1868,173,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Other Kharif pulses,2259,308,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Rice,18,27,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Sesamum,17884,4699,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Sunflower,9,7,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Kharif     ,Urad,9115,3862,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Rabi       ,Barley,7539,17792,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Rabi       ,Gram,20969,15860,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
Rajasthan,AJMER,2004,Rabi       ,Linseed,36,27,2.3,0,0,0,13.4,21.1,120.4,282.5,15.4,11.6,0,0,466.7
